Producto,Categoria del Producto,Precio,Costo de Envio,Fecha de Compra,Vendedor,Lugar de Compra,Calificacion,Metodo de Pago,Cantidad de Cuotas,Latitud,Longitud
Estufa,Electrodomesticos,534600,28700,10/4/2021,Mariana Herrera,Leticia,5,Nequi,1,-4.21528,-69.94056
Auriculares,Electronicos,137000,7800,21/02/2023,Pedro Gomez,Riohacha,5,Tarjeta de credito,2,11.54444,-72.90722
Vaso termico,Deportes y diversion,57800,5500,11/11/2022,Beatriz Morales,Bogota,5,Tarjeta de credito,9,4.60971,-74.08175
Lavadora de ropa,Electrodomesticos,1366800,71000,1/4/2021,Izabela de Leon,Riohacha,3,Tarjeta de credito,5,11.54444,-72.90722
Secadora de ropa,Electrodomesticos,1027500,55400,15/02/2020,Felipe Santos,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Mesa de comedor,Muebles,317200,17100,29/01/2020,Camila Rivera,Barranquilla,1,Tarjeta de credito,1,10.96854,-74.78132
Balon de baloncesto,Deportes y diversion,73300,4600,8/4/2022,Mariana Herrera,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Asistente virtual,Electronicos,206400,11700,12/7/2021,Maria Alfonso,Cali,5,Nequi,1,3.43722,-76.5225
Auriculares,Electronicos,73200,8600,20/02/2022,Beatriz Morales,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Bateria,Instrumentos musicales,675000,36300,8/1/2022,Maria Alfonso,Cali,2,Tarjeta de credito,1,3.43722,-76.5225
Dashboards con Power BI,Libros,37300,0,21/09/2022,Lucas Olivera,Bogota,5,Cupon,1,4.60971,-74.08175
Refrigerador,Electrodomesticos,1770100,99900,5/1/2021,Pedro Gomez,Pereira,5,Tarjeta de credito,3,4.81333,-75.69611
Carrito de control remoto,Juguetes,85200,2700,12/9/2022,Pedro Gomez,Bogota,5,Nequi,1,4.60971,-74.08175
Lavavajillas,Electrodomesticos,1540600,82200,10/3/2020,Beatriz Morales,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Carrito de control remoto,Juguetes,87500,4900,10/12/2020,Mariana Herrera,Medellin,5,Nequi,1,6.25184,-75.56359
Cubo magico 8x8,Juguetes,14100,0,26/08/2021,Angel Rodriguez,Medellin,4,Nequi,1,6.25184,-75.56359
Cama king,Muebles,579900,36700,5/2/2023,Beatriz Morales,Cocuta,4,Tarjeta de credito,4,7.89391,-72.50782
Bicicleta,Deportes y diversion,627500,34100,1/1/2023,Maria Alfonso,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Sofa reclinable,Muebles,610500,30700,20/02/2023,Rafael Acosta,Bogota,4,Tarjeta de credito,10,4.60971,-74.08175
Set de ollas,Arti­culos para el hogar,101900,6100,28/12/2022,Santiago Silva,Bogota,4,Tarjeta de credito,7,4.60971,-74.08175
Mesa de comedor,Muebles,250100,13700,3/5/2020,Camila Rivera,Bogota,3,Tarjeta de credito,3,4.60971,-74.08175
Impresora,Electronicos,292100,16000,22/05/2021,Santiago Silva,Medellin,5,Tarjeta de credito,10,6.25184,-75.56359
Mesa de comedor,Muebles,214800,12500,9/3/2021,Blanca Ramirez,Cocuta,5,Tarjeta de credito,1,7.89391,-72.50782
Guitarra electrica,Instrumentos musicales,934500,50000,1/12/2022,Juliana Costa,Medellin,1,Nequi,1,6.25184,-75.56359
Set de vasos,Arti­culos para el hogar,44900,2600,9/3/2022,Juan Fernandez,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Mochila,Deportes y diversion,82900,2600,2/8/2022,Maria Alfonso,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Sillon,Muebles,229200,12900,31/07/2020,Rafael Acosta,Medellin,5,Tarjeta de credito,14,6.25184,-75.56359
Auriculares con microfono,Electronicos,49300,3000,16/12/2022,Mariana Herrera,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Mesa de comedor,Muebles,308800,23300,8/6/2020,Santiago Silva,Cali,1,Tarjeta de credito,2,3.43722,-76.5225
Balon de voleibol,Deportes y diversion,48700,3000,14/07/2022,Blanca Ramirez,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Iphone 15,Electronicos,2036500,106600,17/08/2021,Maria Alfonso,Medellin,5,Tarjeta de credito,4,6.25184,-75.56359
Iniciando en programacion,Libros,50700,900,14/03/2020,Angel Rodriguez,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Muneca bebe,Juguetes,56000,1200,5/6/2020,Camila Rivera,Cali,5,Nequi,1,3.43722,-76.5225
Cama box,Muebles,632100,34100,30/04/2021,Blanca Ramirez,Bogota,3,Tarjeta de credito,2,4.60971,-74.08175
Auriculares,Electronicos,51400,8600,23/07/2022,Izabela de Leon,Medellin,5,Cupon,1,6.25184,-75.56359
Mesa de noche,Muebles,261500,14100,26/02/2021,Maria Alfonso,Cali,1,Tarjeta de credito,5,3.43722,-76.5225
Muneca bebe,Juguetes,39400,4500,22/05/2021,Angel Rodriguez,Medellin,4,Nequi,1,6.25184,-75.56359
Secadora de ropa,Electrodomesticos,1066200,55000,5/9/2021,Juliana Costa,Bogota,5,Tarjeta de credito,10,4.60971,-74.08175
Refrigerador,Electrodomesticos,1893400,101200,5/10/2021,Rafael Acosta,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Balon de voleibol,Deportes y diversion,45800,4800,5/11/2020,Angel Rodriguez,Pereira,5,Nequi,1,4.81333,-75.69611
Bateria,Instrumentos musicales,1013100,52100,9/4/2021,Juliana Costa,Bogota,5,Nequi,1,4.60971,-74.08175
Bicicleta,Deportes y diversion,559700,28000,14/09/2022,Rafael Acosta,Barranquilla,5,Tarjeta de credito,1,10.96854,-74.78132
Mesa de centro,Muebles,157500,6600,28/11/2022,Juliana Costa,Cocuta,5,Tarjeta de credito,3,7.89391,-72.50782
Iniciando en programacion,Libros,51200,10600,29/01/2022,Rafael Acosta,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Bateria,Instrumentos musicales,765900,39000,3/9/2022,Angel Rodriguez,Bogota,4,Nequi,1,4.60971,-74.08175
Sofa reclinable,Muebles,692500,35100,18/02/2021,Izabela de Leon,Armenia,1,Cupon,1,4.53389,-75.68111
Modelado predictivo,Libros,79500,2400,1/7/2022,Izabela de Leon,Bogota,1,Tarjeta de credito,4,4.60971,-74.08175
Bicicleta,Deportes y diversion,437500,23500,11/9/2022,Pedro Gomez,Medellin,4,Tarjeta de credito,3,6.25184,-75.56359
Cubo magico 8x8,Juguetes,15400,8300,28/12/2021,Mariana Herrera,Cartagena,5,Nequi,1,10.39972,-75.51444
Ciencia de datos con Python,Libros,40900,0,27/12/2020,Beatriz Morales,Bogota,5,Tarjeta de credito,6,4.60971,-74.08175
Microondas,Electrodomesticos,625400,31500,13/11/2022,Rafael Acosta,Medellin,1,Tarjeta de credito,1,6.25184,-75.56359
Cama king,Muebles,773700,39400,8/4/2020,Maria Alfonso,Bogota,5,Nequi,1,4.60971,-74.08175
Ajedrez de madera,Juguetes,28600,2200,17/09/2022,Angel Rodriguez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Sillon,Muebles,193300,10500,22/02/2023,Juliana Costa,Bogota,5,Nequi,1,4.60971,-74.08175
Dashboards con Power BI,Libros,37600,0,22/02/2020,Maria Alfonso,Medellin,4,Tarjeta de credito,2,6.25184,-75.56359
Guitarra electrica,Instrumentos musicales,757500,42700,20/04/2020,Beatriz Morales,Cali,5,Cupon,1,3.43722,-76.5225
Bateria,Instrumentos musicales,409500,29200,14/01/2022,Rafael Acosta,Cali,5,Tarjeta de credito,2,3.43722,-76.5225
Guitarra electrica,Instrumentos musicales,900800,48400,26/02/2022,Lucas Olivera,Bogota,4,Cupon,1,4.60971,-74.08175
Secadora de ropa,Electrodomesticos,712500,38600,11/7/2020,Blanca Ramirez,Bogota,3,Nequi,1,4.60971,-74.08175
Vaso termico,Deportes y diversion,44200,0,29/08/2021,Rafael Acosta,Pereira,5,Cupon,1,4.81333,-75.69611
Tablet ABXY,Electronicos,1330100,71200,12/2/2021,Izabela de Leon,Bogota,4,Tarjeta de credito,2,4.60971,-74.08175
Smartwatch,Electronicos,161000,6800,27/11/2021,Angel Rodriguez,Bogota,1,Tarjeta de credito,5,4.60971,-74.08175
Secadora de ropa,Electrodomesticos,1209600,62600,3/5/2020,Juliana Costa,Bogota,3,Nequi,1,4.60971,-74.08175
Juego de mesa,Juguetes,124300,4800,28/11/2022,Felipe Santos,Bucaramanga,1,Tarjeta de credito,10,7.12539,-73.1198
Celular ABXY,Electronicos,848200,45600,7/10/2022,Izabela de Leon,Cali,1,Tarjeta de credito,1,3.43722,-76.5225
Smartwatch,Electronicos,155600,6500,27/08/2021,Mariana Herrera,Bogota,3,Tarjeta de credito,1,4.60971,-74.08175
Carrito de control remoto,Juguetes,66000,1700,25/07/2022,Rafael Acosta,Cali,5,Tarjeta de credito,10,3.43722,-76.5225
Modelado predictivo,Libros,46900,4900,19/05/2020,Beatriz Morales,Bogota,1,Tarjeta de credito,3,4.60971,-74.08175
Ciencia de datos con Python,Libros,58700,3300,15/03/2023,Izabela de Leon,Medellin,5,Tarjeta de credito,8,6.25184,-75.56359
Armario,Muebles,507900,27300,2/1/2023,Beatriz Morales,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Kit de bancas,Muebles,273400,14800,25/08/2022,Pedro Gomez,Bogota,5,Nequi,1,4.60971,-74.08175
Celular ABXY,Electronicos,1112300,57400,13/06/2020,Izabela de Leon,Bogota,5,Tarjeta de credito,8,4.60971,-74.08175
Impresora,Electronicos,303400,24900,18/12/2020,Izabela de Leon,Cocuta,5,Tarjeta de credito,3,7.89391,-72.50782
Sofa reclinable,Muebles,629800,31700,14/06/2021,Angel Rodriguez,Bogota,4,Tarjeta de credito,8,4.60971,-74.08175
TV LED UHD 4K,Electronicos,2142500,114700,5/7/2020,Felipe Santos,Bogota,5,Tarjeta de credito,5,4.60971,-74.08175
Refrigerador,Electrodomesticos,1702700,88900,22/01/2022,Santiago Silva,Bogota,3,Nequi,1,4.60971,-74.08175
Bateria,Instrumentos musicales,669200,36700,27/06/2021,Maria Alfonso,Bogota,5,Nequi,1,4.60971,-74.08175
Lavavajillas,Electrodomesticos,1503100,80600,25/05/2020,Felipe Santos,Medellin,5,Tarjeta de credito,7,6.25184,-75.56359
Dinosaurio Rex,Juguetes,15800,1500,13/11/2021,Angel Rodriguez,Pereira,3,Tarjeta de credito,4,4.81333,-75.69611
Tablet ABXY,Electronicos,1255600,67500,28/09/2020,Juliana Costa,Riohacha,5,Nequi,1,11.54444,-72.90722
Ciencia de datos con Python,Libros,49400,3000,19/02/2023,Felipe Santos,Bogota,3,Tarjeta de credito,1,4.60971,-74.08175
Impresora,Electronicos,355600,17100,14/02/2021,Pedro Gomez,Cali,2,Nequi,1,3.43722,-76.5225
Vaso termico,Deportes y diversion,54400,9700,15/09/2022,Beatriz Morales,Cali,4,Tarjeta de credito,6,3.43722,-76.5225
Dinosaurio Rex,Juguetes,16200,3200,5/6/2022,Juliana Costa,Bogota,1,Cupon,1,4.60971,-74.08175
Set de vasos,Arti­culos para el hogar,28500,0,18/01/2023,Angel Rodriguez,Medellin,4,Tarjeta de credito,1,6.25184,-75.56359
Estufa,Electrodomesticos,977900,53100,30/05/2022,Rafael Acosta,Bogota,3,Tarjeta de credito,3,4.60971,-74.08175
Mesa de centro,Muebles,174800,10000,20/02/2022,Angel Rodriguez,Medellin,2,Nequi,1,6.25184,-75.56359
Lavavajillas,Electrodomesticos,1350300,72300,22/07/2020,Mariana Herrera,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Microondas,Electrodomesticos,782300,39800,3/11/2021,Mariana Herrera,Medellin,5,Tarjeta de credito,3,6.25184,-75.56359
Bateria,Instrumentos musicales,848800,45600,12/4/2022,Izabela de Leon,Medellin,3,Nequi,1,6.25184,-75.56359
Cubo magico 8x8,Juguetes,19000,0,11/2/2023,Blanca Ramirez,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Impresora,Electronicos,334600,20200,9/7/2022,Mariana Herrera,Bogota,3,Tarjeta de credito,2,4.60971,-74.08175
Muneca bebe,Juguetes,44300,2600,23/02/2021,Camila Rivera,Medellin,3,Tarjeta de credito,8,6.25184,-75.56359
Dinosaurio Rex,Juguetes,15500,0,6/10/2021,Pedro Gomez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Mochila,Deportes y diversion,85900,2800,18/09/2020,Pedro Gomez,Cartagena,4,Tarjeta de credito,4,10.39972,-75.51444
Smart TV,Electronicos,1347300,74100,14/08/2021,Felipe Santos,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Iniciando en programacion,Libros,64100,1600,15/01/2020,Felipe Santos,Pasto,3,Tarjeta de debito,1,1.21361,-77.28111
Dashboards con Power BI,Libros,44600,0,8/6/2020,Juliana Costa,Cartagena,4,Cupon,1,10.39972,-75.51444
Lavavajillas,Electrodomesticos,1375200,73400,3/11/2021,Mariana Herrera,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Auriculares,Electronicos,113300,6400,20/11/2021,Santiago Silva,Bogota,3,Tarjeta de credito,4,4.60971,-74.08175
Guitarra electrica,Instrumentos musicales,753500,40300,10/9/2021,Juliana Costa,Medellin,4,Tarjeta de credito,4,6.25184,-75.56359
Guitarra electrica,Instrumentos musicales,953800,51200,4/9/2022,Pedro Gomez,Barranquilla,5,Tarjeta de credito,5,10.96854,-74.78132
Guitarra acustica,Instrumentos musicales,414000,22300,28/07/2021,Beatriz Morales,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Dinosaurio Rex,Juguetes,17300,0,18/05/2020,Camila Rivera,Bogota,4,Tarjeta de credito,7,4.60971,-74.08175
Guitarra electrica,Instrumentos musicales,743100,39800,18/10/2021,Izabela de Leon,Pereira,5,Cupon,1,4.81333,-75.69611
Asistente virtual,Electronicos,153400,8400,21/03/2021,Izabela de Leon,Barranquilla,1,Cupon,1,10.96854,-74.78132
Sofa reclinable,Muebles,621200,31300,30/04/2022,Juliana Costa,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Tablet ABXY,Electronicos,602400,36900,23/04/2020,Maria Alfonso,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
Pandereta,Instrumentos musicales,66600,1700,12/7/2022,Rafael Acosta,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Carrito de control remoto,Juguetes,63800,1600,8/8/2021,Camila Rivera,Cali,4,Nequi,1,3.43722,-76.5225
Carrito de control remoto,Juguetes,79500,2400,17/12/2020,Felipe Santos,Bogota,5,Tarjeta de credito,5,4.60971,-74.08175
Celular ABXY,Electronicos,708800,35900,3/1/2020,Lucas Olivera,Medellin,5,Nequi,1,6.25184,-75.56359
Microondas,Electrodomesticos,667900,33800,9/7/2020,Beatriz Morales,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Sillon,Muebles,285700,17600,29/09/2022,Blanca Ramirez,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Lavavajillas,Electrodomesticos,1337100,69400,18/05/2021,Rafael Acosta,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Kit de bancas,Muebles,278100,13000,4/11/2020,Lucas Olivera,Pereira,5,Nequi,1,4.81333,-75.69611
Refrigerador,Electrodomesticos,2106100,110300,18/11/2022,Juliana Costa,Bucaramanga,4,Tarjeta de credito,1,7.12539,-73.1198
Balon de voleibol,Deportes y diversion,42900,0,12/4/2020,Blanca Ramirez,Pereira,5,Tarjeta de credito,1,4.81333,-75.69611
Cama king,Muebles,885300,49500,15/04/2021,Santiago Silva,Medellin,1,Tarjeta de credito,10,6.25184,-75.56359
Cama king,Muebles,758600,40600,4/5/2020,Blanca Ramirez,Bogota,1,Nequi,1,4.60971,-74.08175
Cuberteria,Arti­culos para el hogar,32200,6500,20/06/2022,Blanca Ramirez,Medellin,5,Tarjeta de credito,7,6.25184,-75.56359
Cubo magico 8x8,Juguetes,17100,0,26/09/2021,Mariana Herrera,Medellin,4,Tarjeta de credito,3,6.25184,-75.56359
Carrito de control remoto,Juguetes,64500,3800,5/10/2020,Angel Rodriguez,Cali,4,Tarjeta de credito,1,3.43722,-76.5225
Dinosaurio Rex,Juguetes,16600,0,28/04/2020,Angel Rodriguez,Medellin,1,Tarjeta de debito,1,6.25184,-75.56359
Lavadora de ropa,Electrodomesticos,1516500,81300,20/03/2022,Angel Rodriguez,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Bloques de construccion,Juguetes,37400,2200,23/05/2021,Lucas Olivera,Bogota,5,Cupon,1,4.60971,-74.08175
Cubo magico 8x8,Juguetes,13400,1400,2/1/2021,Maria Alfonso,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Impresora,Electronicos,318000,24100,17/12/2022,Felipe Santos,Medellin,4,Tarjeta de credito,4,6.25184,-75.56359
Vaso termico,Deportes y diversion,31000,2400,21/02/2023,Maria Alfonso,Medellin,3,Tarjeta de credito,1,6.25184,-75.56359
Smartwatch,Electronicos,132000,5200,12/8/2020,Rafael Acosta,Cali,5,Tarjeta de credito,1,3.43722,-76.5225
Armario,Muebles,481300,23800,6/2/2020,Pedro Gomez,Medellin,3,Tarjeta de credito,2,6.25184,-75.56359
Muneca bebe,Juguetes,41000,2400,20/09/2020,Angel Rodriguez,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Juego de mesa,Juguetes,251100,11600,14/09/2021,Camila Rivera,Bogota,5,Nequi,1,4.60971,-74.08175
Kit de bancas,Muebles,251000,13600,11/2/2021,Rafael Acosta,Bogota,3,Tarjeta de credito,4,4.60971,-74.08175
Bicicleta,Deportes y diversion,647400,35100,27/08/2021,Santiago Silva,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Lavadora de ropa,Electrodomesticos,1324100,70900,25/08/2022,Pedro Gomez,Bogota,3,Tarjeta de credito,1,4.60971,-74.08175
Tablet ABXY,Electronicos,734000,43900,15/09/2021,Mariana Herrera,Cali,5,Tarjeta de credito,1,3.43722,-76.5225
Carrito de control remoto,Juguetes,53700,3300,1/11/2022,Juliana Costa,Medellin,3,Nequi,1,6.25184,-75.56359
Ajedrez de madera,Juguetes,26000,1800,3/1/2022,Pedro Gomez,Cali,2,Tarjeta de credito,3,3.43722,-76.5225
Secadora de ropa,Electrodomesticos,565400,30300,22/03/2023,Camila Rivera,Leticia,5,Nequi,1,-4.21528,-69.94056
TV LED UHD 4K,Electronicos,2556200,134300,3/2/2023,Angel Rodriguez,Medellin,4,Nequi,1,6.25184,-75.56359
Balon de baloncesto,Deportes y diversion,39100,0,5/12/2021,Beatriz Morales,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Cuberteria,Arti­culos para el hogar,35600,6700,11/4/2020,Camila Rivera,Armenia,4,Tarjeta de debito,1,4.53389,-75.68111
Celular ABXY,Electronicos,1236800,70600,23/03/2023,Felipe Santos,Cali,4,Nequi,1,3.43722,-76.5225
Guitarra electrica,Instrumentos musicales,833000,42500,5/8/2021,Mariana Herrera,Riohacha,5,Nequi,1,11.54444,-72.90722
Armario,Muebles,501000,27100,3/1/2020,Beatriz Morales,Bogota,1,Nequi,1,4.60971,-74.08175
Sofa reclinable,Muebles,727900,39200,12/7/2022,Camila Rivera,Cali,4,Nequi,1,3.43722,-76.5225
Auriculares con microfono,Electronicos,164900,9000,1/3/2022,Mariana Herrera,Santa Marta,5,Tarjeta de credito,4,11.24079,-74.19904
Auriculares,Electronicos,76300,4300,10/7/2021,Juan Fernandez,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Ajedrez de madera,Juguetes,33700,7600,23/09/2021,Felipe Santos,Bogota,4,Nequi,1,4.60971,-74.08175
Estufa,Electrodomesticos,418700,20500,22/07/2021,Beatriz Morales,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Ajedrez de madera,Juguetes,34900,0,29/09/2022,Juliana Costa,Cali,5,Nequi,1,3.43722,-76.5225
Celular ABXY,Electronicos,850600,45800,6/5/2020,Maria Alfonso,Barranquilla,3,Tarjeta de credito,1,10.96854,-74.78132
Microondas,Electrodomesticos,811900,41400,12/7/2022,Rafael Acosta,Medellin,2,Tarjeta de credito,10,6.25184,-75.56359
TV LED UHD 4K,Electronicos,2827400,150900,17/04/2020,Beatriz Morales,Cocuta,5,Tarjeta de credito,1,7.89391,-72.50782
Impresora,Electronicos,350300,16800,7/2/2022,Blanca Ramirez,Medellin,4,Tarjeta de credito,3,6.25184,-75.56359
Sofa reclinable,Muebles,711000,42500,14/12/2021,Lucas Olivera,Bogota,5,Tarjeta de debito,1,4.60971,-74.08175
Auriculares con microfono,Electronicos,244100,11200,3/3/2022,Izabela de Leon,Leticia,4,Tarjeta de credito,6,-4.21528,-69.94056
Cubo magico 8x8,Juguetes,18300,0,16/06/2022,Camila Rivera,Bogota,5,Cupon,1,4.60971,-74.08175
Impresora,Electronicos,368800,20000,9/7/2021,Pedro Gomez,Medellin,1,Tarjeta de credito,10,6.25184,-75.56359
Cama king,Muebles,815500,43600,15/12/2020,Santiago Silva,Medellin,4,Cupon,1,6.25184,-75.56359
Sillon,Muebles,284500,13300,15/11/2021,Felipe Santos,Cali,5,Tarjeta de credito,10,3.43722,-76.5225
Guitarra acustica,Instrumentos musicales,216100,9700,13/03/2023,Camila Rivera,Bogota,1,Tarjeta de credito,1,4.60971,-74.08175
Impresora,Electronicos,357100,19700,10/7/2022,Camila Rivera,Medellin,4,Tarjeta de credito,1,6.25184,-75.56359
Secadora de ropa,Electrodomesticos,1459600,86500,13/02/2023,Felipe Santos,Bogota,5,Tarjeta de credito,4,4.60971,-74.08175
Mesa de comedor,Muebles,185600,8100,27/12/2020,Camila Rivera,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Cama box,Muebles,645400,35000,1/12/2022,Felipe Santos,Bogota,4,Nequi,1,4.60971,-74.08175
Secadora de ropa,Electrodomesticos,846000,49800,3/7/2022,Camila Rivera,Cartagena,5,Tarjeta de credito,3,10.39972,-75.51444
Armario,Muebles,524800,26100,13/04/2022,Rafael Acosta,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Mesa de noche,Muebles,248600,11400,1/4/2022,Santiago Silva,Medellin,5,Tarjeta de credito,10,6.25184,-75.56359
Asistente virtual,Electronicos,187900,10700,8/4/2022,Juliana Costa,Pereira,5,Tarjeta de credito,1,4.81333,-75.69611
Balon de baloncesto,Deportes y diversion,25500,1600,10/1/2020,Juan Fernandez,Bogota,5,Tarjeta de credito,5,4.60971,-74.08175
Celular ABXY,Electronicos,1000000,51400,12/2/2021,Izabela de Leon,Cali,2,Nequi,1,3.43722,-76.5225
Balon de voleibol,Deportes y diversion,59200,3400,7/9/2021,Juliana Costa,Bogota,5,Tarjeta de credito,3,4.60971,-74.08175
Dinosaurio Rex,Juguetes,16000,0,26/08/2022,Maria Alfonso,Bogota,3,Cupon,1,4.60971,-74.08175
Cama box,Muebles,672900,34000,24/02/2021,Blanca Ramirez,Bogota,4,Nequi,1,4.60971,-74.08175
Dashboards con Power BI,Libros,30100,0,10/12/2020,Beatriz Morales,Medellin,5,Tarjeta de credito,6,6.25184,-75.56359
Bateria,Instrumentos musicales,1122500,60000,6/1/2021,Maria Alfonso,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Microondas,Electrodomesticos,729700,39100,7/8/2022,Camila Rivera,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Silla de oficina,Muebles,371800,18000,17/01/2021,Camila Rivera,Cali,5,Tarjeta de credito,3,3.43722,-76.5225
Juego de mesa,Juguetes,232900,10600,29/03/2022,Camila Rivera,Medellin,5,Tarjeta de credito,7,6.25184,-75.56359
TV LED UHD 4K,Electronicos,1520200,86800,14/01/2023,Lucas Olivera,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Mochila,Deportes y diversion,83600,2600,2/4/2022,Lucas Olivera,Cali,4,Nequi,1,3.43722,-76.5225
Auriculares,Electronicos,113900,6300,17/11/2021,Santiago Silva,Medellin,1,Tarjeta de credito,2,6.25184,-75.56359
Cubo magico 8x8,Juguetes,21000,0,15/09/2022,Izabela de Leon,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Bloques de construccion,Juguetes,27500,0,9/11/2021,Blanca Ramirez,Medellin,1,Tarjeta de credito,2,6.25184,-75.56359
Ajedrez de madera,Juguetes,30200,0,26/10/2022,Rafael Acosta,Cartagena,5,Tarjeta de credito,10,10.39972,-75.51444
Modelado predictivo,Libros,73600,2100,5/9/2021,Felipe Santos,Bogota,5,Cupon,1,4.60971,-74.08175
Dashboards con Power BI,Libros,26800,2100,3/11/2020,Juliana Costa,Bogota,5,Tarjeta de credito,4,4.60971,-74.08175
Smart TV,Electronicos,1575700,86300,21/12/2021,Rafael Acosta,Cocuta,4,Tarjeta de credito,11,7.89391,-72.50782
Asistente virtual,Electronicos,175200,7500,2/4/2020,Camila Rivera,Medellin,5,Tarjeta de credito,2,6.25184,-75.56359
Guitarra acustica,Instrumentos musicales,273300,12700,6/6/2020,Angel Rodriguez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Mesa de noche,Muebles,238700,10900,26/12/2021,Izabela de Leon,Bogota,3,Tarjeta de credito,1,4.60971,-74.08175
Balon de baloncesto,Deportes y diversion,42400,0,6/11/2021,Juliana Costa,Bogota,5,Nequi,1,4.60971,-74.08175
Estufa,Electrodomesticos,1031600,53100,25/08/2022,Rafael Acosta,Cali,5,Nequi,1,3.43722,-76.5225
Armario,Muebles,506600,27200,20/03/2023,Beatriz Morales,Medellin,5,Tarjeta de credito,1,6.25184,-75.56359
Mesa de comedor,Muebles,152800,8300,21/01/2022,Juan Fernandez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Bicicleta,Deportes y diversion,495400,27000,20/06/2022,Juliana Costa,Bogota,4,Tarjeta de credito,2,4.60971,-74.08175
Cubo magico 8x8,Juguetes,13600,0,24/09/2022,Mariana Herrera,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Smart TV,Electronicos,1790800,93500,23/02/2020,Santiago Silva,Cali,5,Tarjeta de credito,10,3.43722,-76.5225
Kit de bancas,Muebles,257600,13900,8/7/2022,Maria Alfonso,Bogota,4,Tarjeta de credito,1,4.60971,-74.08175
Kit de bancas,Muebles,269100,12500,21/08/2020,Izabela de Leon,Bogota,5,Nequi,1,4.60971,-74.08175
Modelado predictivo,Libros,48000,0,24/02/2021,Mariana Herrera,Cali,3,Tarjeta de credito,2,3.43722,-76.5225
Silla de oficina,Muebles,238500,10900,6/11/2021,Felipe Santos,Pereira,5,Nequi,1,4.81333,-75.69611
Lavadora de ropa,Electrodomesticos,1200700,62100,3/11/2022,Santiago Silva,Cartagena,5,Tarjeta de credito,4,10.39972,-75.51444
Guitarra acustica,Instrumentos musicales,313500,17100,22/12/2022,Angel Rodriguez,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Lavadora de ropa,Electrodomesticos,1379700,74000,24/02/2023,Juan Fernandez,Pereira,4,Nequi,1,4.81333,-75.69611
Ciencia de datos con Python,Libros,41400,2400,18/09/2022,Lucas Olivera,Bogota,5,Tarjeta de credito,1,4.60971,-74.08175
Mesa de noche,Muebles,263700,12200,22/07/2020,Rafael Acosta,Bogota,5,Tarjeta de credito,2,4.60971,-74.08175
Cuerda para saltar,Deportes y diversion,18400,6800,21/06/2022,Blanca Ramirez,Bogota,5,Nequi,1,4.60971,-74.08175
Auriculares con microfono,Electronicos,164400,6900,21/01/2023,Juan Fernandez,Medellin,4,Tarjeta de credito,1,6.25184,-75.56359
Set de ollas,Arti­culos para el hogar,111400,4100,14/02/2020,Camila Rivera,Medellin,5,Tarjeta de credito,7,6.25184,-75.56359
